shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.12,0.10,0.11,0.09,0.10,,,,1, 1 ,0.08,0.08,0.08,0.07,0.08,,,1.25,0.02
5, 1 ,0.47,0.37,0.37,0.37,0.37,,,,5, 1 ,0.22,0.19,0.17,0.18,0.18,,,2.06,0.19
10, 1 ,0.82,0.74,0.69,0.71,0.72,,,,10, 1 ,0.41,0.30,0.30,0.30,0.30,,,2.40,0.42
20, 1 ,1.63,1.28,1.44,1.31,1.35,,,,20, 1 ,0.77,0.56,0.55,0.57,0.56,,,2.41,0.79
40, 1 ,3.62,2.77,2.87,2.78,2.80,,,,40, 1 ,1.44,1.04,1.05,1.03,1.04,,,2.69,1.76
60, 1 ,4.77,3.76,3.79,3.78,3.78,,,,60, 1 ,2.13,1.57,1.55,1.55,1.55,,,2.44,2.23
80, 1 ,6.89,5.62,5.78,5.80,5.73,,,,80, 1 ,2.77,2.82,2.77,2.79,2.79,,,2.05,2.94
100, 1 ,12.90,7.04,7.15,7.58,7.26,,,,100, 1 ,3.34,3.27,3.26,3.24,3.26,,,2.23,4.00
1, 3 ,0.13,0.10,0.11,0.10,0.11,,,,1, 3 ,0.18,0.17,0.17,0.20,0.18,,,0.61,-0.07
5, 3 ,0.54,0.41,0.39,0.41,0.40,,,,5, 3 ,0.36,0.35,0.35,0.36,0.35,,,1.14,0.05
10, 3 ,0.82,0.80,0.72,0.71,0.74,,,,10, 3 ,0.58,0.59,0.56,0.55,0.57,,,1.30,0.17
20, 3 ,1.75,1.41,1.44,1.51,1.45,,,,20, 3 ,1.06,1.01,0.99,1.03,1.01,,,1.44,0.44
40, 3 ,3.19,2.76,2.91,2.72,2.80,,,,40, 3 ,1.98,1.90,1.85,1.90,1.88,,,1.49,0.92
60, 3 ,4.65,4.08,4.32,4.19,4.20,,,,60, 3 ,2.94,2.69,2.84,2.75,2.76,,,1.52,1.44
