shuffle, , .1, .2, .3, .4, avg,0,1,2,broadcast,4,5,6,7,8,brAvg,R,S,sh/bc,sh-bc
1, 1 ,0.06,0.05,0.06,0.05,0.05,,,,1, 1 ,0.07,0.07,0.08,0.07,0.07,,,0.71,-0.02
5, 1 ,0.20,0.20,0.19,0.19,0.19,,,,5, 1 ,0.16,0.15,0.16,0.15,0.15,,,1.27,0.04
10, 1 ,0.38,0.40,0.34,0.37,0.37,,,,10, 1 ,0.24,0.24,0.24,0.24,0.24,,,1.54,0.13
20, 1 ,0.69,0.71,0.68,0.70,0.70,,,,20, 1 ,0.42,0.43,0.45,0.43,0.44,,,1.59,0.26
40, 1 ,1.33,1.32,1.35,1.34,1.34,,,,40, 1 ,0.76,0.78,0.78,0.78,0.78,,,1.72,0.56
60, 1 ,1.87,2.08,1.98,2.08,2.05,,,,60, 1 ,1.16,1.10,1.08,1.10,1.09,,,1.88,0.96
80, 1 ,2.70,2.68,2.53,3.02,2.75,,,,80, 1 ,1.49,1.49,1.39,1.48,1.45,,,1.90,1.30
100, 1 ,3.34,3.78,3.29,3.40,3.49,,,,100, 1 ,2.10,1.93,1.89,1.82,1.88,,,1.86,1.61
1, 3 ,0.07,0.06,0.06,0.06,0.06,,,,1, 3 ,0.18,0.17,0.18,0.18,0.18,,,0.33,-0.12
5, 3 ,0.29,0.24,0.25,0.27,0.25,,,,5, 3 ,0.32,0.30,0.31,0.34,0.32,,,0.78,-0.07
10, 3 ,0.48,0.45,0.44,0.48,0.46,,,,10, 3 ,0.50,0.43,0.45,0.46,0.45,,,1.02,0.01
20, 3 ,0.78,0.71,0.75,0.79,0.75,,,,20, 3 ,0.83,0.74,0.78,0.79,0.77,,,0.97,-0.02
40, 3 ,1.51,1.54,1.62,1.39,1.52,,,,40, 3 ,1.45,1.28,1.29,1.31,1.29,,,1.18,0.23
60, 3 ,2.28,2.52,2.07,2.16,2.25,,,,60, 3 ,2.18,1.74,1.83,1.85,1.81,,,1.24,0.44
80, 3 ,3.34,3.07,3.26,3.21,3.18,,,,80, 3 ,2.78,2.54,2.52,2.47,2.51,,,1.27,0.67
100, 3 ,4.01,3.46,3.51,3.29,3.42,,,,100, 3 ,3.34,3.21,2.84,2.97,3.01,,,1.14,0.41
1, 6 ,0.07,0.07,0.07,0.07,0.07,,,,1, 6 ,0.36,0.35,0.35,0.35,0.35,,,0.20,-0.28
5, 6 ,0.30,0.26,0.25,0.26,0.26,,,,5, 6 ,0.47,0.52,0.48,0.52,0.51,,,0.51,-0.25
10, 6 ,0.52,0.53,0.52,0.52,0.52,,,,10, 6 ,0.72,0.72,0.72,0.70,0.72,,,0.72,-0.20
20, 6 ,0.99,0.93,1.09,0.81,0.94,,,,20, 6 ,1.21,1.07,1.08,1.12,1.09,,,0.86,-0.15
40, 6 ,1.60,1.75,1.80,1.84,1.80,,,,40, 6 ,1.90,1.95,1.67,1.87,1.83,,,0.98,-0.03
60, 6 ,2.38,2.88,2.74,2.63,2.75,,,,60, 6 ,2.72,2.50,2.60,2.63,2.58,,,1.07,0.17
80, 6 ,3.68,3.29,3.35,3.73,3.46,,,,80, 6 ,3.55,3.01,3.39,3.24,3.22,,,1.07,0.24
100, 6 ,3.92,4.21,4.51,4.37,4.36,,,,100, 6 ,4.27,3.76,3.64,3.59,3.67,,,1.19,0.69
1, 9 ,0.09,0.08,0.08,0.08,0.08,,,,1, 9 ,0.54,0.54,0.52,0.52,0.53,,,0.15,-0.45
5, 9 ,0.28,0.29,0.30,0.28,0.29,,,,5, 9 ,0.80,0.77,0.73,0.74,0.75,,,0.39,-0.46
10, 9 ,0.65,0.54,0.54,0.55,0.54,,,,10, 9 ,1.06,1.08,0.98,0.96,1.01,,,0.53,-0.47
20, 9 ,1.16,1.16,1.13,0.95,1.08,,,,20, 9 ,1.57,1.45,1.71,1.47,1.54,,,0.70,-0.46
40, 9 ,2.31,2.14,2.07,2.21,2.14,,,,40, 9 ,2.61,2.82,2.52,2.57,2.64,,,0.81,-0.50
60, 9 ,3.08,3.29,2.97,3.34,3.20,,,,60, 9 ,3.85,3.60,3.54,3.45,3.53,,,0.91,-0.33
80, 9 ,4.16,4.26,4.47,4.29,4.34,,,,80, 9 ,4.75,4.46,4.34,4.41,4.40,,,0.99,-0.06
100, 9 ,4.73,5.12,5.28,5.06,5.15,,,,100, 9 ,5.65,5.17,5.04,5.28,5.16,,,1.00,-0.01
1, 12 ,0.09,0.08,0.09,0.08,0.08,,,,1, 12 ,0.72,0.69,0.68,0.67,0.68,,,0.12,-0.60
5, 12 ,0.33,0.30,0.30,0.33,0.31,,,,5, 12 ,0.97,0.95,0.99,0.90,0.94,,,0.33,-0.63
10, 12 ,0.62,0.63,0.57,0.59,0.60,,,,10, 12 ,1.26,1.19,1.23,1.32,1.25,,,0.48,-0.65
20, 12 ,1.25,1.16,1.21,1.20,1.19,,,,20, 12 ,1.96,1.93,1.94,1.87,1.91,,,0.62,-0.72
40, 12 ,2.07,2.29,2.12,2.45,2.29,,,,40, 12 ,3.55,3.15,3.12,3.16,3.14,,,0.73,-0.85
60, 12 ,3.24,3.24,3.38,3.46,3.36,,,,60, 12 ,4.58,4.29,4.31,4.14,4.25,,,0.79,-0.89
80, 12 ,4.56,4.52,4.32,4.51,4.45,,,,80, 12 ,6.18,5.71,5.56,5.46,5.58,,,0.80,-1.13
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,100, 12 ,0.01,0.01,0.01,0.01,0.01,,,1.00,0.00
broadcast, , , , , , avg,,,,,,,,,,,,,,
1, 1 ,0.07,0.07,0.08,0.07,0.07,,,,,,,,,,,,,,
5, 1 ,0.16,0.15,0.16,0.15,0.15,,,,,,,,,,,,,,
10, 1 ,0.24,0.24,0.24,0.24,0.24,,,,,,,,,,,,,,
20, 1 ,0.42,0.43,0.45,0.43,0.44,,,,,,,,,,,,,,
40, 1 ,0.76,0.78,0.78,0.78,0.78,,,,,,,,,,,,,,
60, 1 ,1.16,1.10,1.08,1.10,1.09,,,,,,,,,,,,,,
80, 1 ,1.49,1.49,1.39,1.48,1.45,,,,,,,,,,,,,,
100, 1 ,2.10,1.93,1.89,1.82,1.88,,,,,,,,,,,,,,
1, 3 ,0.18,0.17,0.18,0.18,0.18,,,,,,,,,,,,,,
5, 3 ,0.32,0.30,0.31,0.34,0.32,,,,,,,,,,,,,,
10, 3 ,0.50,0.43,0.45,0.46,0.45,,,,,,,,,,,,,,
20, 3 ,0.83,0.74,0.78,0.79,0.77,,,,,,,,,,,,,,
40, 3 ,1.45,1.28,1.29,1.31,1.29,,,,,,,,,,,,,,
60, 3 ,2.18,1.74,1.83,1.85,1.81,,,,,,,,,,,,,,
80, 3 ,2.78,2.54,2.52,2.47,2.51,,,,,,,,,,,,,,
100, 3 ,3.34,3.21,2.84,2.97,3.01,,,,,,,,,,,,,,
1, 6 ,0.36,0.35,0.35,0.35,0.35,,,,,,,,,,,,,,
5, 6 ,0.47,0.52,0.48,0.52,0.51,,,,,,,,,,,,,,
10, 6 ,0.72,0.72,0.72,0.70,0.72,,,,,,,,,,,,,,
20, 6 ,1.21,1.07,1.08,1.12,1.09,,,,,,,,,,,,,,
40, 6 ,1.90,1.95,1.67,1.87,1.83,,,,,,,,,,,,,,
60, 6 ,2.72,2.50,2.60,2.63,2.58,,,,,,,,,,,,,,
80, 6 ,3.55,3.01,3.39,3.24,3.22,,,,,,,,,,,,,,
100, 6 ,4.27,3.76,3.64,3.59,3.67,,,,,,,,,,,,,,
1, 9 ,0.54,0.54,0.52,0.52,0.53,,,,,,,,,,,,,,
5, 9 ,0.80,0.77,0.73,0.74,0.75,,,,,,,,,,,,,,
10, 9 ,1.06,1.08,0.98,0.96,1.01,,,,,,,,,,,,,,
20, 9 ,1.57,1.45,1.71,1.47,1.54,,,,,,,,,,,,,,
40, 9 ,2.61,2.82,2.52,2.57,2.64,,,,,,,,,,,,,,
60, 9 ,3.85,3.60,3.54,3.45,3.53,,,,,,,,,,,,,,
80, 9 ,4.75,4.46,4.34,4.41,4.40,,,,,,,,,,,,,,
100, 9 ,5.65,5.17,5.04,5.28,5.16,,,,,,,,,,,,,,
1, 12 ,0.72,0.69,0.68,0.67,0.68,,,,,,,,,,,,,,
5, 12 ,0.97,0.95,0.99,0.90,0.94,,,,,,,,,,,,,,
10, 12 ,1.26,1.19,1.23,1.32,1.25,,,,,,,,,,,,,,
20, 12 ,1.96,1.93,1.94,1.87,1.91,,,,,,,,,,,,,,
40, 12 ,3.55,3.15,3.12,3.16,3.14,,,,,,,,,,,,,,
60, 12 ,4.58,4.29,4.31,4.14,4.25,,,,,,,,,,,,,,
80, 12 ,6.18,5.71,5.56,5.46,5.58,,,,,,,,,,,,,,
100, 12 ,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,
